Label,ENSG00000151224.11,ENSG00000156136.8,ENSG00000218582.2,ENSG00000197744.5,ENSG00000238024.1,ENSG00000213867.4,ENSG00000230104.1,ENSG00000146670.8,ENSG00000178718.6,ENSG00000170075.8,ENSG00000196968.9,ENSG00000217130.1,ENSG00000123119.10,ENSG00000213398.6,ENSG00000273662.1,ENSG00000243101.1,ENSG00000122679.7,ENSG00000116785.12,ENSG00000248374.1,ENSG00000218574.1,ENSG00000184999.10,ENSG00000243977.1,ENSG00000233662.1,ENSG00000257365.6,ENSG00000124444.14,ENSG00000171208.8,ENSG00000241735.1,ENSG00000119915.4,ENSG00000269921.1,ENSG00000234389.1
Early_Stage,-0.529573,-0.742447,0.035206,-0.009787,-0.054147,-0.683099,-0.421615,-0.533982,0.47928,1.871719,0.679641,1.030488,-0.305292,-0.13507,-0.500101,0.797506,1.317762,-0.780307,-0.2723,-0.53065,-0.07067,-0.588354,-0.382378,1.338165,-0.680982,-0.45342,0.107529,-0.560607,-0.800208,-0.615524
Early_Stage,0.236898,-0.594952,-0.418097,-0.194016,-0.46185,0.224333,-0.421615,-0.521737,-1.081897,-0.444683,-1.391085,-0.520251,-0.579959,-1.489502,-0.500101,0.702703,-1.08577,0.673412,-0.2723,-0.53065,2.154708,-0.588354,-0.382378,-1.649358,-1.052624,-0.743749,0.051085,-0.291187,-0.446197,-0.279255
Early_Stage,-0.481538,0.162105,-0.401803,-0.146582,-0.46185,0.839023,-0.421615,0.355909,4.143338,-0.512012,-0.329578,-0.243093,-0.042385,1.68483,-0.500101,0.507075,-1.350404,-0.721536,-0.2723,0.625941,-1.450134,-0.588354,-0.382378,2.402742,0.616856,1.020677,1.273121,2.081587,0.068833,-0.044631
Early_Stage,0.955754,-0.469805,-0.127157,-0.296945,-0.46185,-0.683099,-0.421615,-0.942289,-0.980272,-0.087357,0.109925,-0.957519,-0.532876,0.397363,-0.500101,0.443613,0.777197,-1.121151,-0.2723,-0.53065,1.542009,-0.588354,3.366655,-1.454238,-0.617955,-0.63824,-0.75344,-0.560607,-0.591837,0.706927
Early_Stage,-0.866561,0.099887,0.725907,1.833288,-0.46185,-0.019914,-0.303899,-0.041467,0.541955,-0.524571,-0.62909,1.057151,-0.491483,0.88381,-0.500101,0.334356,-0.284028,0.293333,-0.2723,1.421263,1.795682,0.288445,-0.382378,-0.355626,1.324916,-0.700277,-0.75344,-0.520134,-0.93531,-0.615524
Early_Stage,0.476637,0.091751,0.417467,-0.14848,-0.46185,0.141093,0.005519,-0.984965,-0.166611,0.356117,-0.488506,-0.380973,0.321095,0.494585,-0.500101,0.576935,0.621053,0.601321,-0.2723,0.695712,-0.889022,2.595855,-0.382378,0.060801,-0.522563,-0.41979,3.419777,-0.510147,-0.516715,0.285345
Early_Stage,0.996879,-0.57015,0.079854,-0.470082,-0.46185,-0.003068,-0.300887,-0.777511,-1.084896,-0.475658,-0.393795,0.159919,0.074413,0.743074,-0.500101,-0.655123,0.657134,-1.149408,-0.2723,-0.53065,0.425845,-0.588354,-0.382378,-1.181279,-1.140219,0.310477,0.437991,-0.437579,-0.639312,0.369235
Early_Stage,0.324694,0.133365,-0.304271,-0.24795,-0.46185,-0.683099,-0.421615,-0.633577,0.067174,-0.179438,1.132721,-0.733215,-0.030827,0.175802,-0.500101,-0.655123,0.297278,0.105956,0.991171,-0.53065,-0.150872,0.423498,-0.382378,0.526081,-1.063254,-0.115898,0.586449,0.001378,-0.89078,1.021273
Early_Stage,0.491257,-0.236105,-0.03828,-0.820924,-0.46185,-0.683099,-0.421615,-0.260755,1.107822,0.409797,-0.209426,-0.426603,-0.44193,0.787126,-0.500101,0.887991,0.418269,0.919654,-0.2723,-0.53065,1.186844,-0.588354,-0.382378,-0.2654,-1.415265,2.820859,-0.75344,-0.497302,-1.225695,0.871615
Early_Stage,1.185492,0.752038,-0.105554,-0.960841,0.223471,0.434148,-0.421615,0.498682,-0.753224,-0.573904,0.143297,-1.032041,-0.530408,0.483096,-0.500101,-0.655123,1.077883,1.551845,-0.2723,-0.53065,0.473426,-0.588354,-0.382378,-0.815956,0.059995,0.513142,-0.75344,0.012908,-0.044714,0.606056
