Label,ENSG00000169715.13,ENSG00000150656.13,ENSG00000112936.17,ENSG00000112312.8,ENSG00000101210.9
Normal,2.634645,-2.766728,1.174492,-0.385475,-0.974378
Normal,2.890127,1.623088,0.011717,-0.128768,-1.137071
Normal,2.054615,1.593252,-0.066896,-0.2181,-0.716452
Normal,2.253195,2.089723,0.648618,-0.09281,-0.806097
Normal,2.852273,1.658388,0.963125,-0.307012,-1.031866
Normal,2.28481,-0.610707,0.887808,0.019921,0.889088
Normal,3.296618,1.422974,0.3455,-0.603001,-1.025525
Normal,3.072871,-0.202433,-0.773867,-0.266981,-1.110464
Normal,2.468778,-2.197303,1.011457,-0.187695,-0.763339
Normal,2.421261,0.478807,0.822733,-0.275977,-0.502512
Normal,2.523384,-0.673404,1.449308,-0.322657,-0.939875
Normal,3.077683,-0.109614,0.24897,-0.132439,-0.109369
Normal,2.547893,-2.089932,1.698495,0.019236,-0.333618
Normal,2.418464,0.898933,0.752734,-0.518674,-1.12657
Normal,1.936336,0.447173,0.293269,-0.43895,-1.091517
Normal,2.852285,1.108361,0.582274,-0.579145,-0.81508
Normal,2.720966,0.300799,0.736211,-0.447846,-0.86605
Normal,2.187616,-2.406477,0.884111,1.142739,0.27971
Normal,3.010668,1.538042,-0.030398,-0.639241,-1.028214
Normal,3.01674,-1.096168,0.753553,-0.501366,-1.070647
Normal,2.635064,-1.568993,2.027456,0.153028,0.218869
Normal,2.270761,1.35818,0.372762,-0.504033,0.78736
Normal,2.312312,0.964354,0.996315,0.22592,-1.066845
Normal,2.352407,3.014094,-0.090131,-0.299002,-1.113918
Normal,2.476027,0.397697,0.005352,-0.349572,-0.986277
Normal,2.196438,0.905051,0.33999,-0.059328,-1.107708
Normal,1.82617,-0.705594,1.860729,0.457073,0.495596
Normal,2.988698,1.654736,0.586539,-0.930632,-0.883697
Normal,2.875046,-0.877883,0.807789,-0.268177,-1.045822
Normal,2.405871,0.309599,0.654696,-0.179375,-1.092404
Normal,2.938665,2.471369,0.367748,-0.972863,-1.097438
Normal,2.716757,1.685258,0.878859,-0.188764,-1.009072
Normal,2.227684,-0.376847,1.13185,-0.335224,-0.664008
Normal,1.761482,-2.244041,1.28681,0.957865,1.690299
Normal,2.63682,-1.632261,0.435815,-0.426081,-1.127645
Normal,3.126006,1.941124,0.700939,-0.479237,-0.765591
Normal,2.899747,1.188273,0.999067,-0.549992,-0.795328
Normal,2.617197,1.005572,0.7743,-0.139965,-1.099325
Normal,2.896923,2.061898,0.342533,-0.549517,-0.732838
Normal,2.653032,-0.539224,0.485989,-0.02823,-0.181458
Early_Stage,-0.373772,-1.086655,0.518179,0.298173,0.526329
Early_Stage,-0.691677,1.190726,0.764573,0.995777,-1.012061
Early_Stage,-0.392815,-0.800082,-0.701517,-0.246842,0.996964
Early_Stage,-0.214345,-0.861681,0.442838,1.059262,1.955143
Early_Stage,-0.452422,0.794775,0.950605,1.292067,-0.541575
Early_Stage,-0.288487,-0.631188,-1.791918,1.126647,1.392008
Early_Stage,-0.339819,-1.156312,0.459882,0.584874,-0.008673
Early_Stage,-0.463329,0.714834,0.407764,-0.425177,-1.012648
Early_Stage,-0.264944,-1.659759,1.453387,-0.14234,0.243886
Early_Stage,-0.164097,-0.455205,0.823134,0.23446,0.184952
Early_Stage,-0.146043,0.679179,-0.306494,-1.375086,-0.764555
Early_Stage,-0.308799,-0.552146,0.905564,1.65408,1.618752
Early_Stage,-0.405786,-1.107607,-0.217638,0.444852,1.745873
Early_Stage,-0.540633,-1.26405,0.708901,-0.299075,-0.955102
Early_Stage,-0.460434,0.324374,0.423785,-0.743981,0.537077
Early_Stage,-0.069642,0.021471,1.072811,-0.33769,1.432614
Early_Stage,-0.321259,-0.075598,-1.786515,-0.644182,0.511304
Early_Stage,-0.253399,-0.376291,0.56048,-0.06605,-0.941587
Early_Stage,-0.243944,-1.227881,0.740608,-0.790843,2.213683
Early_Stage,-0.266533,-1.102672,0.531646,1.131661,1.406309
Early_Stage,-0.605259,-1.141908,1.029984,1.528983,-0.806537
Early_Stage,-0.531507,-0.397913,0.520704,1.849476,1.327207
Early_Stage,-0.607309,-0.052379,-0.024637,1.06392,0.829831
Early_Stage,-0.556795,0.405484,0.245416,0.676745,-1.035455
Early_Stage,-0.434484,-0.900489,-0.207995,-0.144596,1.654799
Early_Stage,-0.464341,-0.930796,0.973445,-0.877198,0.432864
Early_Stage,-0.201892,-0.340108,0.622385,1.591089,1.121876
Early_Stage,-0.480746,-0.110384,-0.566598,-0.663782,0.00282
Early_Stage,-0.415748,-0.475757,0.048754,1.141698,0.53218
Early_Stage,-0.550699,-1.089807,0.303235,0.206969,1.167202
Early_Stage,-0.401113,-0.61915,0.671991,0.108193,1.436521
Early_Stage,-0.534779,-0.584036,0.134767,2.236651,1.166576
Early_Stage,-0.593007,-0.27771,0.751759,-0.996371,0.059045
Early_Stage,-0.277577,0.123661,-1.190547,0.234999,1.011088
Early_Stage,-0.386751,-0.405044,-0.587722,1.752335,0.749693
Early_Stage,-0.391728,-0.75634,-0.064593,1.8743,0.679286
Early_Stage,0.083041,1.531367,1.108543,-0.708845,-0.88672
Early_Stage,-0.277999,-0.59867,-0.000265,0.286309,0.9538
Early_Stage,-0.375285,-0.807313,0.655031,-0.393494,-0.875044
Early_Stage,-0.419411,-1.148368,1.091296,0.718219,-1.131625
Early_Stage,-0.438192,-0.951648,-1.04468,-0.456148,1.226714
Early_Stage,-0.33061,-0.773298,-0.202778,-1.082197,-1.086751
Early_Stage,-0.457586,-0.388215,0.551579,0.605734,-0.153835
Early_Stage,-0.457319,-0.623614,-0.285795,-0.706398,0.821589
Early_Stage,-0.235818,-0.650071,-0.114485,0.407479,0.931538
Early_Stage,-0.662827,0.245803,1.821772,1.03821,-0.975257
Early_Stage,-0.40689,-0.864277,-1.010599,1.227998,1.07706
Early_Stage,-0.604118,0.000391,-0.335903,-0.508591,-1.112097
Early_Stage,-0.579289,-0.440186,-0.592579,-1.481527,-0.529822
Early_Stage,-0.502988,-1.394864,0.463806,0.513763,1.257327
Early_Stage,-0.549335,-0.520227,-0.2671,-0.108364,1.847252
Early_Stage,-0.318404,0.368445,-0.252491,0.327454,0.509918
Early_Stage,-0.345937,-0.611463,-0.57261,0.220386,1.492209
Early_Stage,-0.50147,-0.677854,0.117843,-0.132787,-0.595388
Early_Stage,-0.270124,-0.288706,0.405844,0.539829,0.451604
Early_Stage,-0.46968,-1.178006,-0.124948,-0.333471,-0.660335
Early_Stage,-0.555404,0.590267,1.479129,2.609304,0.99589
Early_Stage,-0.468679,-0.409965,0.437705,-0.994285,0.329365
Early_Stage,-0.09853,0.138436,0.192921,-0.094336,0.608302
Early_Stage,-0.265038,-0.36732,0.851167,-1.082288,1.149191
Early_Stage,-0.205284,0.449156,-0.501116,-0.611787,-1.034662
Early_Stage,-0.3793,0.832042,0.717935,-0.160889,-0.371619
Early_Stage,-0.447439,-0.159917,1.963714,1.227011,0.947584
Early_Stage,-0.565838,0.04459,0.823654,0.928703,-1.049029
Early_Stage,-0.648381,-0.637206,1.814139,2.747207,0.599096
Early_Stage,-0.188532,-0.86944,-0.697617,-0.015452,0.495617
Early_Stage,-0.373299,0.242323,-1.175364,-0.827879,0.563043
Early_Stage,-0.389065,-0.05817,0.492647,2.431061,0.899294
Early_Stage,-0.320215,-0.387316,0.036849,-0.882311,1.215565
Early_Stage,-0.136552,0.143072,-0.372825,0.325792,-1.014275
Early_Stage,-0.556554,0.594974,0.845089,0.176701,1.553045
Early_Stage,-0.294669,0.700472,-0.129495,-0.4007,-0.301765
Early_Stage,-0.312265,0.007223,1.063646,0.061048,-1.089066
Early_Stage,-0.450965,-0.767692,0.644203,-0.016831,1.324946
Early_Stage,-0.314531,-0.749451,0.453732,-0.868253,0.920712
Early_Stage,-0.465966,-1.455108,1.51269,2.286674,1.642446
Early_Stage,-0.48624,-0.651725,0.010288,-1.349192,0.850952
Early_Stage,-0.372634,-0.652695,0.247492,-1.089564,1.711259
Early_Stage,-0.43747,-0.761659,0.934692,0.601131,1.342514
Early_Stage,-0.524458,-1.286613,1.387445,1.826287,-0.15643
Early_Stage,-0.41305,-0.736772,0.600927,-0.778906,0.507438
Early_Stage,-0.393194,-0.339238,1.031324,-0.834254,0.75435
Early_Stage,-0.62027,0.008335,-2.282026,0.24816,-1.137138
Early_Stage,-0.458378,-1.187091,0.909368,1.411658,1.860053
Early_Stage,-0.657069,-0.983068,1.597543,0.838786,1.884852
Early_Stage,-0.499391,-0.227478,-1.09002,-0.334749,-1.092635
Early_Stage,-0.305775,-1.466475,0.455599,0.374645,2.13417
Early_Stage,-0.517265,-0.064959,-0.360586,0.954129,0.62167
Early_Stage,-0.346235,-0.668755,0.149245,-0.41155,1.885138
Early_Stage,-0.334905,0.246017,-1.761612,0.263905,0.191611
Early_Stage,-0.577103,-1.447863,0.8391,1.39572,2.242947
Early_Stage,-0.434252,-0.526146,0.140439,0.831425,-0.266483
Early_Stage,-0.08175,0.911811,-1.999006,-0.61123,0.810966
