Label,ENSG00000263761.2,ENSG00000160339.14,ENSG00000104938.15,ENSG00000182566.11,ENSG00000165682.13
Cancer,-0.491049547234434,-0.522060032728823,-0.451311362308343,-0.548344225954788,-0.420482194652188
Cancer,-0.491049547234434,-0.688503232512904,-0.435591381085541,-0.584401933644291,-0.480802133268568
Cancer,1.45537232024801,1.01360287432204,0.323693257847476,0.965104276953149,0.903564154725196
Cancer,-0.491049547234434,-0.72788622983501,-0.451311362308343,-0.584401933644291,-0.480802133268568
Cancer,-0.491049547234434,-0.687193068266223,-0.446698725922422,-0.56708929487314,-0.451902486449201
Cancer,-0.491049547234434,-0.678464333127381,-0.451311362308343,-0.549799183539833,-0.411567227345814
Cancer,-0.491049547234434,-0.728330958422025,-0.451311362308343,-0.503013086365334,-0.480802133268568
Cancer,-0.491049547234434,-0.447344858777333,-0.434068491911353,-0.552192481580228,-0.469902642489442
Cancer,-0.491049547234434,-0.391281619395706,-0.433326072313212,-0.573065424452767,-0.458132540034286
Cancer,0.121160029320047,1.23961447115695,0.875498042695796,0.886839597734313,0.186159362610123
Cancer,-0.491049547234434,-0.746518495412608,-0.443067701086394,-0.485887994569996,-0.480802133268568
Cancer,-0.462509499394384,-0.716321688811353,-0.443253166914372,-0.47891054460126,-0.460537677614704
Cancer,-0.394593977939874,-0.2312261590044,-0.429074821711597,-0.429473113330847,-0.480802133268568
Cancer,-0.491049547234434,-0.492814940896161,-0.445511043702713,-0.541482441056702,-0.458947424457267
Cancer,-0.491049547234434,-0.691343941871981,-0.446320295528129,-0.517638359251546,-0.468236270970455
Cancer,-0.491049547234434,-0.724436828524825,-0.439599757120582,-0.548088975550186,-0.436860434323033
Cancer,-0.247149349162851,0.839568104666207,-0.00580063708359772,0.00658056956169522,-0.361799750705487
Cancer,-0.491049547234434,-0.643706964891001,-0.451311362308343,-0.473598429419369,-0.480802133268568
Cancer,-0.491049547234434,-0.59212296660505,-0.44444469863477,-0.567206897787905,-0.446412338801177
